epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2820.09,0.96692,0.92223,1.1882,0.85797,0.83758,0.8985,0.66238,1.00231,0.77594,1.22192,0.0005941,0.0005941,0.0005941
43,2887.2,0.96202,0.92076,1.19345,0.86327,0.83528,0.89363,0.66157,0.98241,0.79489,1.20855,0.0005842,0.0005842,0.0005842
44,2954.48,0.95116,0.90758,1.18401,0.84638,0.84159,0.89562,0.67158,0.96573,0.78251,1.18822,0.0005743,0.0005743,0.0005743
45,3021.63,0.94852,0.92615,1.19122,0.85761,0.82874,0.89522,0.6668,0.97478,0.7799,1.19799,0.0005644,0.0005644,0.0005644
46,3088.61,0.93691,0.88899,1.1783,0.83469,0.82839,0.87812,0.64114,0.99479,0.82067,1.20704,0.0005545,0.0005545,0.0005545
47,3155.61,0.93286,0.86748,1.16657,0.84436,0.85319,0.89491,0.66694,0.96388,0.77559,1.19108,0.0005446,0.0005446,0.0005446
48,3222.53,0.93115,0.87558,1.16604,0.82204,0.86865,0.89299,0.66066,0.95784,0.78034,1.18888,0.0005347,0.0005347,0.0005347
49,3289.73,0.91922,0.85165,1.16637,0.83074,0.84944,0.88422,0.65765,0.98359,0.80688,1.19858,0.0005248,0.0005248,0.0005248
50,3356.77,0.91778,0.87702,1.16276,0.82805,0.88381,0.90273,0.67466,0.97382,0.7574,1.19043,0.0005149,0.0005149,0.0005149
51,3423.95,0.91882,0.84892,1.15704,0.86095,0.86223,0.90663,0.66953,0.97444,0.75302,1.19831,0.000505,0.000505,0.000505
52,3491.11,0.92148,0.8461,1.17261,0.85688,0.85662,0.90398,0.6692,0.98936,0.75304,1.19687,0.0004951,0.0004951,0.0004951
53,3558.09,0.89738,0.83656,1.15039,0.84232,0.85926,0.89887,0.65595,1.00157,0.76708,1.20642,0.0004852,0.0004852,0.0004852
54,3625.21,0.89903,0.8201,1.15233,0.86336,0.83671,0.89671,0.67033,0.96866,0.74215,1.18524,0.0004753,0.0004753,0.0004753
55,3756.63,0.90628,0.83565,1.1539,0.87491,0.86226,0.91094,0.67529,0.9794,0.73835,1.19113,0.0004654,0.0004654,0.0004654
56,3822.79,0.90399,0.8149,1.15653,0.87336,0.85731,0.90548,0.67967,0.96282,0.72533,1.18819,0.0004555,0.0004555,0.0004555
57,3892.07,0.89011,0.82256,1.15089,0.85608,0.87938,0.91402,0.68726,0.93345,0.70765,1.1646,0.0004456,0.0004456,0.0004456
58,3958.9,0.89251,0.80673,1.14537,0.8325,0.91287,0.91156,0.67953,0.94587,0.70047,1.17889,0.0004357,0.0004357,0.0004357
59,4025.73,0.8788,0.80647,1.14349,0.86715,0.88008,0.91554,0.68649,0.95373,0.68281,1.18134,0.0004258,0.0004258,0.0004258
60,4153.02,0.87067,0.77923,1.13291,0.85222,0.86466,0.9159,0.68939,0.93573,0.70454,1.16786,0.0004159,0.0004159,0.0004159
61,4219.13,0.86383,0.77426,1.13184,0.85445,0.86821,0.91311,0.69116,0.93427,0.70065,1.16697,0.000406,0.000406,0.000406
62,4286.09,0.86783,0.7754,1.13411,0.85639,0.88799,0.91808,0.68771,0.93792,0.69785,1.16505,0.0003961,0.0003961,0.0003961
63,4352.94,0.85727,0.75677,1.12456,0.86424,0.89188,0.91906,0.69223,0.94215,0.6875,1.16443,0.0003862,0.0003862,0.0003862
64,4419.64,0.86671,0.75934,1.13191,0.87049,0.86244,0.92357,0.69999,0.93345,0.69382,1.16361,0.0003763,0.0003763,0.0003763
65,4486.56,0.85991,0.74664,1.12023,0.89902,0.87289,0.92481,0.69012,0.94298,0.68376,1.17047,0.0003664,0.0003664,0.0003664
66,4553.59,0.84751,0.74736,1.12014,0.88842,0.87118,0.91162,0.69117,0.92658,0.68028,1.16543,0.0003565,0.0003565,0.0003565
67,4620.7,0.85212,0.74803,1.12019,0.87828,0.87686,0.929,0.70735,0.92308,0.66564,1.15734,0.0003466,0.0003466,0.0003466
68,4687.67,0.83869,0.74222,1.11684,0.88308,0.89727,0.919,0.70389,0.92898,0.66459,1.16098,0.0003367,0.0003367,0.0003367
69,4754.57,0.84738,0.73781,1.11437,0.88451,0.89971,0.93313,0.70985,0.91908,0.65896,1.15618,0.0003268,0.0003268,0.0003268
70,4835.79,0.84089,0.72217,1.11325,0.88976,0.88481,0.93004,0.70671,0.92528,0.64583,1.15472,0.0003169,0.0003169,0.0003169
71,4902.62,0.81514,0.70532,1.10018,0.89223,0.88696,0.93246,0.71269,0.92503,0.65322,1.15628,0.000307,0.000307,0.000307
72,4969.61,0.81738,0.70124,1.09725,0.89282,0.87951,0.9273,0.7149,0.90303,0.64481,1.14738,0.0002971,0.0002971,0.0002971
73,5036.71,0.81567,0.69203,1.09917,0.89867,0.85956,0.92518,0.7123,0.9038,0.65877,1.14361,0.0002872,0.0002872,0.0002872
74,5104.37,0.80724,0.69584,1.0932,0.8877,0.89151,0.9303,0.71585,0.91279,0.64161,1.15591,0.0002773,0.0002773,0.0002773
75,5171.83,0.80424,0.68064,1.09568,0.88827,0.90061,0.93111,0.71501,0.9238,0.65266,1.15239,0.0002674,0.0002674,0.0002674
76,5238.94,0.79475,0.68273,1.09024,0.89546,0.90136,0.93429,0.71783,0.90388,0.63361,1.14222,0.0002575,0.0002575,0.0002575
77,5306.1,0.79337,0.6685,1.08947,0.899,0.89495,0.93271,0.71942,0.89988,0.62051,1.1453,0.0002476,0.0002476,0.0002476
78,5373.17,0.78844,0.68266,1.08172,0.91339,0.86734,0.93363,0.72195,0.89834,0.61926,1.14123,0.0002377,0.0002377,0.0002377
79,5440.55,0.78885,0.66978,1.08915,0.88289,0.89217,0.92856,0.72087,0.89503,0.62068,1.14107,0.0002278,0.0002278,0.0002278
80,5507.71,0.7833,0.65535,1.07697,0.88396,0.89584,0.92976,0.7177,0.9016,0.62237,1.14591,0.0002179,0.0002179,0.0002179
81,5574.89,0.7873,0.66005,1.0829,0.88041,0.91703,0.93936,0.72164,0.90304,0.61797,1.14378,0.000208,0.000208,0.000208
82,5642.27,0.77516,0.64612,1.07324,0.90912,0.88986,0.9333,0.72117,0.89822,0.59855,1.13866,0.0001981,0.0001981,0.0001981
83,5709.41,0.77952,0.65086,1.07861,0.8737,0.91572,0.934,0.72391,0.88101,0.60427,1.12292,0.0001882,0.0001882,0.0001882
84,5776.57,0.76362,0.64354,1.07017,0.90074,0.9005,0.93663,0.72465,0.8787,0.60472,1.1251,0.0001783,0.0001783,0.0001783
85,5844.15,0.76639,0.64111,1.07005,0.89401,0.90092,0.93827,0.73032,0.87684,0.59717,1.1265,0.0001684,0.0001684,0.0001684
86,5911.51,0.77,0.6339,1.07351,0.87751,0.91406,0.93611,0.72748,0.87259,0.5986,1.12015,0.0001585,0.0001585,0.0001585
87,5978.94,0.77057,0.64133,1.06961,0.90735,0.89477,0.94125,0.73906,0.86801,0.58903,1.11523,0.0001486,0.0001486,0.0001486
88,6046.22,0.75111,0.63054,1.06829,0.91185,0.87806,0.93803,0.73119,0.87246,0.60383,1.12063,0.0001387,0.0001387,0.0001387
89,6113.29,0.76432,0.6263,1.06673,0.89463,0.89263,0.93813,0.72892,0.87843,0.58913,1.12841,0.0001288,0.0001288,0.0001288
90,6180.59,0.74922,0.61185,1.05927,0.90699,0.8977,0.93901,0.73005,0.88175,0.589,1.11906,0.0001189,0.0001189,0.0001189
91,6254.91,0.69153,0.4995,1.03068,0.89372,0.91263,0.93741,0.72919,0.8734,0.5833,1.12581,0.000109,0.000109,0.000109
92,6321.93,0.67393,0.4739,1.01039,0.89486,0.91262,0.94075,0.73315,0.87913,0.578,1.1352,9.91e-05,9.91e-05,9.91e-05
93,6388.9,0.67333,0.47011,1.01317,0.91158,0.90031,0.93904,0.7357,0.8741,0.57321,1.1277,8.92e-05,8.92e-05,8.92e-05
94,6455.83,0.66207,0.46169,1.0113,0.90131,0.90549,0.93867,0.73388,0.87572,0.58128,1.13036,7.93e-05,7.93e-05,7.93e-05
95,6522.79,0.65417,0.44823,1.00341,0.90483,0.89014,0.93641,0.73143,0.87603,0.58983,1.13079,6.94e-05,6.94e-05,6.94e-05
96,6589.82,0.65956,0.45812,1.00919,0.89698,0.91013,0.93679,0.73597,0.86525,0.57642,1.12087,5.95e-05,5.95e-05,5.95e-05
97,6656.53,0.65784,0.45045,1.0125,0.89115,0.92218,0.93731,0.73552,0.86465,0.5762,1.1221,4.96e-05,4.96e-05,4.96e-05
98,6723.56,0.64552,0.43815,0.99642,0.88909,0.91276,0.93959,0.74032,0.86153,0.56133,1.11702,3.97e-05,3.97e-05,3.97e-05
99,6790.7,0.64144,0.43857,0.99614,0.89469,0.91002,0.93822,0.73682,0.85929,0.56672,1.11523,2.98e-05,2.98e-05,2.98e-05
100,6857.63,0.63935,0.43417,0.99208,0.89473,0.91779,0.93919,0.73898,0.85724,0.5613,1.11491,1.99e-05,1.99e-05,1.99e-05
