epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,369.576,0.95347,0.95049,1.16755,0.75166,0.77223,0.80762,0.55604,1.19689,1.02894,1.39693,0.0006337,0.0006337,0.0006337
39,379.544,0.96243,0.94329,1.17227,0.78539,0.75604,0.80226,0.56329,1.15489,1.00825,1.36315,0.0006238,0.0006238,0.0006238
40,388.851,0.9632,0.95458,1.18284,0.79904,0.79748,0.82402,0.57376,1.2155,1.02911,1.4221,0.0006139,0.0006139,0.0006139
41,398.22,0.9596,0.95072,1.17808,0.82688,0.73311,0.80976,0.57324,1.17071,1.0265,1.40487,0.000604,0.000604,0.000604
42,407.649,0.93311,0.94163,1.16773,0.75543,0.76589,0.81141,0.57194,1.13517,1.0165,1.36305,0.0005941,0.0005941,0.0005941
43,417.168,0.94057,0.91537,1.1675,0.79531,0.80119,0.83241,0.58692,1.14956,0.95657,1.3526,0.0005842,0.0005842,0.0005842
44,426.813,0.92546,0.91128,1.15936,0.76288,0.76417,0.79865,0.55123,1.15786,1.02405,1.36105,0.0005743,0.0005743,0.0005743
45,436.51,0.9223,0.87715,1.15059,0.80016,0.76344,0.81528,0.58104,1.13496,0.97195,1.34255,0.0005644,0.0005644,0.0005644
46,446.367,0.90185,0.85857,1.14108,0.79607,0.78504,0.83008,0.58086,1.16861,1.04858,1.40746,0.0005545,0.0005545,0.0005545
47,456.059,0.90941,0.88508,1.1502,0.78635,0.74323,0.80458,0.55676,1.16522,1.01328,1.38484,0.0005446,0.0005446,0.0005446
48,465.719,0.90784,0.85878,1.1476,0.78004,0.74591,0.81265,0.57284,1.13846,0.98229,1.3492,0.0005347,0.0005347,0.0005347
49,475.18,0.90258,0.85792,1.14431,0.80152,0.76955,0.82654,0.57962,1.16011,0.96726,1.38477,0.0005248,0.0005248,0.0005248
50,484.336,0.91513,0.87792,1.15323,0.74775,0.81436,0.81705,0.58061,1.14844,0.98666,1.37193,0.0005149,0.0005149,0.0005149
51,494.182,0.89791,0.84153,1.14056,0.7868,0.75762,0.80936,0.56713,1.15909,1.01296,1.3502,0.000505,0.000505,0.000505
52,503.724,0.89163,0.85667,1.14176,0.77713,0.77706,0.83003,0.58916,1.12994,0.93404,1.34983,0.0004951,0.0004951,0.0004951
53,513.069,0.86768,0.81692,1.11743,0.829,0.76042,0.83554,0.58423,1.16733,0.93789,1.37245,0.0004852,0.0004852,0.0004852
54,522.776,0.85285,0.81601,1.1146,0.79281,0.77046,0.80155,0.56998,1.15363,0.97655,1.35057,0.0004753,0.0004753,0.0004753
55,532.749,0.87394,0.81541,1.12594,0.79788,0.74023,0.80946,0.56909,1.13838,0.99631,1.3596,0.0004654,0.0004654,0.0004654
56,542.69,0.86651,0.81087,1.12441,0.82978,0.78073,0.83152,0.58812,1.10985,0.93418,1.34393,0.0004555,0.0004555,0.0004555
57,552.257,0.85416,0.78273,1.1179,0.82931,0.78222,0.83869,0.59411,1.12325,0.92185,1.32742,0.0004456,0.0004456,0.0004456
58,561.834,0.84425,0.77267,1.11639,0.80737,0.79586,0.83194,0.58726,1.14698,0.90765,1.35356,0.0004357,0.0004357,0.0004357
59,571.576,0.86164,0.78415,1.10652,0.79272,0.78658,0.8225,0.58421,1.13818,0.94284,1.33901,0.0004258,0.0004258,0.0004258
60,581.088,0.84641,0.76609,1.11288,0.80335,0.79287,0.82336,0.57565,1.16314,1.00175,1.35262,0.0004159,0.0004159,0.0004159
61,590.589,0.84377,0.78284,1.11138,0.82227,0.77386,0.832,0.59424,1.17286,0.95146,1.38419,0.000406,0.000406,0.000406
62,600.157,0.83656,0.76766,1.11397,0.80226,0.77974,0.82666,0.59254,1.13538,0.9227,1.35981,0.0003961,0.0003961,0.0003961
63,609.728,0.83764,0.75511,1.10542,0.81081,0.77214,0.8238,0.59116,1.13869,0.92908,1.34882,0.0003862,0.0003862,0.0003862
64,619.519,0.82519,0.75867,1.09728,0.80794,0.7524,0.81389,0.58226,1.14873,0.98788,1.36162,0.0003763,0.0003763,0.0003763
65,629.661,0.81143,0.73123,1.09159,0.81443,0.78601,0.82837,0.58545,1.1367,0.92571,1.36475,0.0003664,0.0003664,0.0003664
66,638.98,0.81081,0.72586,1.08673,0.81116,0.77269,0.82392,0.58108,1.12889,0.93667,1.35046,0.0003565,0.0003565,0.0003565
67,648.051,0.82536,0.7458,1.08618,0.76288,0.76792,0.81222,0.5673,1.17041,0.96128,1.38212,0.0003466,0.0003466,0.0003466
68,657.141,0.79617,0.70669,1.08206,0.79033,0.78341,0.81988,0.58678,1.15033,0.95207,1.37112,0.0003367,0.0003367,0.0003367
69,666.454,0.81504,0.71136,1.10112,0.79636,0.81657,0.83475,0.59495,1.13917,0.88045,1.36592,0.0003268,0.0003268,0.0003268
70,675.996,0.80887,0.71913,1.08618,0.79687,0.79067,0.827,0.58837,1.09938,0.89564,1.33569,0.0003169,0.0003169,0.0003169
71,685.258,0.79592,0.68727,1.08133,0.80802,0.77107,0.83306,0.59838,1.13655,0.92079,1.35136,0.000307,0.000307,0.000307
72,694.533,0.78701,0.6771,1.0713,0.82263,0.76322,0.83271,0.5954,1.11979,0.87803,1.34392,0.0002971,0.0002971,0.0002971
73,703.769,0.7951,0.71158,1.07279,0.77273,0.79668,0.83147,0.60176,1.12191,0.89846,1.34216,0.0002872,0.0002872,0.0002872
74,713.042,0.77763,0.68475,1.06863,0.78872,0.77787,0.83209,0.60753,1.11773,0.91033,1.33557,0.0002773,0.0002773,0.0002773
75,722.259,0.78736,0.69403,1.06976,0.83886,0.73939,0.82338,0.59332,1.13384,0.90742,1.35038,0.0002674,0.0002674,0.0002674
76,731.523,0.75174,0.66881,1.05852,0.80462,0.78228,0.83628,0.60524,1.14065,0.89809,1.3603,0.0002575,0.0002575,0.0002575
77,740.957,0.78668,0.67078,1.07013,0.83176,0.76921,0.83445,0.59054,1.16883,0.87871,1.40165,0.0002476,0.0002476,0.0002476
78,750.288,0.76815,0.66396,1.06163,0.81034,0.77115,0.83382,0.60063,1.13305,0.88124,1.35806,0.0002377,0.0002377,0.0002377
79,759.62,0.74558,0.6448,1.05927,0.77961,0.76754,0.82123,0.59221,1.14223,0.92515,1.3638,0.0002278,0.0002278,0.0002278
80,770.241,0.75017,0.63484,1.05298,0.81561,0.75189,0.82621,0.59015,1.15273,0.95116,1.37216,0.0002179,0.0002179,0.0002179
81,780.204,0.7614,0.65645,1.06238,0.80594,0.78204,0.83022,0.60038,1.14716,0.88358,1.37898,0.000208,0.000208,0.000208
82,789.526,0.74004,0.63146,1.05196,0.81018,0.80491,0.83792,0.60257,1.12679,0.86558,1.34097,0.0001981,0.0001981,0.0001981
83,799.626,0.74377,0.63132,1.05043,0.82347,0.77793,0.84182,0.6026,1.14592,0.88223,1.36729,0.0001882,0.0001882,0.0001882
84,810.106,0.73954,0.62881,1.04952,0.82436,0.77934,0.82967,0.599,1.14986,0.88406,1.37431,0.0001783,0.0001783,0.0001783
85,820.543,0.74274,0.62369,1.0448,0.84073,0.78006,0.84322,0.60502,1.14513,0.87149,1.36024,0.0001684,0.0001684,0.0001684
86,831.048,0.73302,0.61652,1.03996,0.80504,0.773,0.82954,0.59344,1.16176,0.92345,1.3815,0.0001585,0.0001585,0.0001585
87,841.53,0.73654,0.64212,1.04517,0.80906,0.77444,0.82839,0.59398,1.15757,0.91637,1.37171,0.0001486,0.0001486,0.0001486
88,852.563,0.71356,0.60281,1.02282,0.79707,0.80032,0.83675,0.59554,1.15632,0.89097,1.37837,0.0001387,0.0001387,0.0001387
89,862.283,0.70981,0.59736,1.03695,0.80513,0.77718,0.83188,0.59946,1.14446,0.89488,1.38237,0.0001288,0.0001288,0.0001288
90,871.254,0.70017,0.59286,1.0241,0.77164,0.83028,0.83727,0.59743,1.15942,0.90454,1.39421,0.0001189,0.0001189,0.0001189
91,896.69,0.67137,0.5029,0.99232,0.85667,0.75065,0.83405,0.59605,1.15724,0.87765,1.38893,0.000109,0.000109,0.000109
92,905.969,0.64591,0.46694,0.98639,0.80116,0.79499,0.83542,0.5973,1.15554,0.86998,1.38979,9.91e-05,9.91e-05,9.91e-05
93,916.723,0.64072,0.45945,0.98556,0.80708,0.7959,0.84367,0.60278,1.15363,0.86871,1.37694,8.92e-05,8.92e-05,8.92e-05
94,926.997,0.62413,0.45557,0.97643,0.76399,0.82591,0.84237,0.60498,1.13683,0.8646,1.3601,7.93e-05,7.93e-05,7.93e-05
95,936.921,0.62931,0.44788,0.97847,0.791,0.80777,0.83847,0.60216,1.14163,0.88418,1.36519,6.94e-05,6.94e-05,6.94e-05
96,947.559,0.62061,0.44341,0.96972,0.79532,0.82372,0.83892,0.60504,1.13354,0.88472,1.35845,5.95e-05,5.95e-05,5.95e-05
97,957.652,0.6156,0.44391,0.97132,0.7883,0.81075,0.8344,0.60777,1.13848,0.88551,1.37252,4.96e-05,4.96e-05,4.96e-05
98,966.631,0.61617,0.43146,0.96598,0.78847,0.80025,0.8323,0.60525,1.14415,0.89769,1.36982,3.97e-05,3.97e-05,3.97e-05
99,975.616,0.60895,0.42989,0.96405,0.78459,0.80806,0.83301,0.60146,1.14163,0.88941,1.36593,2.98e-05,2.98e-05,2.98e-05
100,984.478,0.60522,0.43586,0.9675,0.7974,0.78662,0.83244,0.60266,1.14594,0.89437,1.36887,1.99e-05,1.99e-05,1.99e-05
